category,id,name,en,prompt,image_path,is_featured
"建筑",cat1_item1,"古典建筑","Classical Architecture","Classical Architecture","/images/themes/architecture/古典建筑_Classical Architecture.png",true
"建筑",cat1_item2,"哥特建筑","Gothic Architecture","Gothic Architecture","/images/themes/architecture/哥特建筑_Gothic Architecture.png",true
"建筑",cat1_item3,"文艺复兴建筑","Renaissance Architecture","Renaissance Architecture","/images/themes/architecture/文艺复兴建筑_Renaissance Architecture.png",true
"建筑",cat1_item4,"巴洛克建筑","Baroque Architecture","Baroque Architecture","/images/themes/architecture/巴洛克建筑_Baroque Architecture.png",true
"建筑",cat1_item5,"洛可可建筑","Rococo Architecture","Rococo Architecture","/images/themes/architecture/洛可可建筑_Rococo Architecture.png",
"建筑",cat1_item6,"现代主义","Modernism","Modernism","/images/themes/architecture/现代主义_Modernism.png",
"建筑",cat1_item7,"粗野主义","Brutalism","Brutalism","/images/themes/architecture/粗野主义_Brutalism.png",
"建筑",cat1_item8,"后现代","Postmodern","Postmodern","/images/themes/architecture/后现代_Postmodern.png",
"建筑",cat1_item9,"参数化","Parametric","Parametric","/images/themes/architecture/参数化_Parametric.png",
"建筑",cat1_item10,"中式传统","Traditional Chinese Architecture","Traditional Chinese Architecture","/images/themes/architecture/中式传统_Traditional Chinese Architecture.png",
"建筑",cat1_item11,"日式枯山水","Japanese Zen Garden","Japanese Zen Garden","/images/themes/architecture/日式枯山水_Japanese Zen Garden.png",
"建筑",cat1_item12,"包豪斯建筑","Bauhaus Architecture","Bauhaus Architecture","/images/themes/architecture/包豪斯建筑_Bauhaus Architecture.png",
"建筑",cat1_item13,"国际主义","International Style","International Style","/images/themes/architecture/国际主义_International Style.png",
"建筑",cat1_item14,"高技派","High-Tech Architecture","High-Tech Architecture","/images/themes/architecture/高技派_High-Tech Architecture.png",
"建筑",cat1_item15,"解构主义","Deconstructivism","Deconstructivism","/images/themes/architecture/解构主义_Deconstructivism.png",
"建筑",cat1_item16,"有机建筑","Organic Architecture","Organic Architecture","/images/themes/architecture/有机建筑_Organic Architecture.png",
"建筑",cat1_item17,"未来主义建筑","Futurist Architecture","Futurist Architecture","/images/themes/architecture/未来主义建筑_Futurist Architecture.png",
"建筑",cat1_item18,"生态建筑","Sustainable Architecture","Sustainable Architecture","/images/themes/architecture/生态建筑_Sustainable Architecture.png",
"建筑",cat1_item19,"极简住宅","Minimalist House","Minimalist House","/images/themes/architecture/极简住宅_Minimalist House.png",
"建筑",cat1_item20,"玻璃幕墙","Glass Curtain Wall","Glass Curtain Wall","/images/themes/architecture/玻璃幕墙_Glass Curtain Wall.png",
"建筑",cat1_item21,"混凝土美学","Concrete Aesthetic","Concrete Aesthetic","/images/themes/architecture/混凝土美学_Concrete Aesthetic.png",
"建筑",cat1_item22,"城市天际线","City Skyline","City Skyline","/images/themes/architecture/城市天际线_City Skyline.png",
"建筑",cat1_item23,"概念建筑","Conceptual Architecture","Conceptual Architecture","/images/themes/architecture/概念建筑_Conceptual Architecture.png",
"建筑",cat1_item24,"科幻建筑","Sci-fi Architecture","Sci-fi Architecture","/images/themes/architecture/科幻建筑_Sci-fi Architecture.png",
"建筑",cat1_item25,"废墟美学","Ruins Aesthetic","Ruins Aesthetic","/images/themes/architecture/废墟美学_Ruins Aesthetic.png",
"建筑",cat1_item26,"地下建筑","Underground Structure","Underground Structure","/images/themes/architecture/地下建筑_Underground Structure.png",
"建筑",cat1_item27,"空中花园","Sky Garden","Sky Garden","/images/themes/architecture/空中花园_Sky Garden.png",
"建筑",cat1_item28,"模块化建筑","Modular Architecture","Modular Architecture","/images/themes/architecture/模块化建筑_Modular Architecture.png",
"建筑",cat1_item29,"未来城市","Future City","Future City","/images/themes/architecture/未来城市_Future City.png",
"建筑",cat1_item30,"赛博都市","Cyber City","Cyber City","/images/themes/architecture/赛博都市_Cyber City.png",
"建筑",cat1_item31,"垂直城市","Vertical City","Vertical City","/images/themes/architecture/垂直城市_Vertical City.png",
"建筑",cat1_item32,"水下建筑","Underwater Architecture","Underwater Architecture","/images/themes/architecture/水下建筑_Underwater Architecture.png",
"建筑",cat1_item33,"火星基地","Mars Habitat","Mars Habitat","/images/themes/architecture/火星基地_Mars Habitat.png",
"传统绘画",cat2_item1,"文艺复兴","Renaissance","Renaissance","/images/themes/traditional_painting/文艺复兴_Renaissance.png",true
"传统绘画",cat2_item2,"巴洛克","Baroque","Baroque","/images/themes/traditional_painting/巴洛克_Baroque.png",true
"传统绘画",cat2_item3,"洛可可","Rococo","Rococo","/images/themes/traditional_painting/洛可可_Rococo.png",true
"传统绘画",cat2_item4,"浪漫主义","Romanticism","Romanticism","/images/themes/traditional_painting/浪漫主义_Romanticism.png",true
"传统绘画",cat2_item5,"印象派","Impressionism","Impressionism","/images/themes/traditional_painting/印象派_Impressionism.png",
"传统绘画",cat2_item6,"后印象派","Post-impressionism","Post-impressionism","/images/themes/traditional_painting/后印象派_Post-impressionism.png",
"传统绘画",cat2_item7,"超现实主义","Surrealism","Surrealism","/images/themes/traditional_painting/超现实主义_Surrealism.png",
"传统绘画",cat2_item8,"新古典主义","Neoclassicism","Neoclassicism","/images/themes/traditional_painting/新古典主义_Neoclassicism.png",
"传统绘画",cat2_item9,"写实主义","Realism","Realism","/images/themes/traditional_painting/写实主义_Realism.png",
"传统绘画",cat2_item10,"表现主义","Expressionism","Expressionism","/images/themes/traditional_painting/表现主义_Expressionism.png",
"传统绘画",cat2_item11,"立体主义","Cubism","Cubism","/images/themes/traditional_painting/立体主义_Cubism.png",
"传统绘画",cat2_item12,"野兽派","Fauvism","Fauvism","/images/themes/traditional_painting/野兽派_Fauvism.png",
"传统绘画",cat2_item13,"达达主义","Dada","Dada","/images/themes/traditional_painting/达达主义_Dada.png",
"传统绘画",cat2_item14,"抽象表现主义","Abstract Expressionism","Abstract Expressionism","/images/themes/traditional_painting/抽象表现主义_Abstract Expressionism.png",
"传统绘画",cat2_item15,"中国水墨","Chinese Ink Wash","Chinese Ink Wash","/images/themes/traditional_painting/中国水墨_Chinese Ink Wash.png",
"传统绘画",cat2_item16,"工笔","Gongbi","Gongbi","/images/themes/traditional_painting/工笔_Gongbi.png",
"传统绘画",cat2_item17,"泼墨","Splash Ink","Splash Ink","/images/themes/traditional_painting/泼墨_Splash Ink.png",
"传统绘画",cat2_item18,"日本浮世绘","Ukiyo-e","Ukiyo-e","/images/themes/traditional_painting/日本浮世绘_Ukiyo-e.png",
"传统绘画",cat2_item19,"韩国民画","Minhwa","Minhwa","/images/themes/traditional_painting/韩国民画_Minhwa.png",
"传统绘画",cat2_item20,"油画","Oil Painting","Oil Painting","/images/themes/traditional_painting/油画_Oil Painting.png",
"传统绘画",cat2_item21,"水彩","Watercolor","Watercolor","/images/themes/traditional_painting/水彩_Watercolor.png",
"传统绘画",cat2_item22,"粉彩","Pastel","Pastel","/images/themes/traditional_painting/粉彩_Pastel.png",
"传统绘画",cat2_item23,"壁画","Fresco","Fresco","/images/themes/traditional_painting/壁画_Fresco.png",
"传统绘画",cat2_item24,"蛋彩画","Tempera","Tempera","/images/themes/traditional_painting/蛋彩画_Tempera.png",
"传统绘画",cat2_item25,"丙烯","Acrylic","Acrylic","/images/themes/traditional_painting/丙烯_Acrylic.png",
"传统绘画",cat2_item26,"木版画","Woodblock Print","Woodblock Print","/images/themes/traditional_painting/木版画_Woodblock Print.png",
"传统绘画",cat2_item27,"铜版画","Engraving","Engraving","/images/themes/traditional_painting/铜版画_Engraving.png",
"传统绘画",cat2_item28,"点彩派","Pointillism","Pointillism","/images/themes/traditional_painting/点彩派_Pointillism.png",
"传统绘画",cat2_item29,"象征主义","Symbolism","Symbolism","/images/themes/traditional_painting/象征主义_Symbolism.png",
"传统绘画",cat2_item30,"巴比松画派","Barbizon School","Barbizon School","/images/themes/traditional_painting/巴比松画派_Barbizon School.png",
"传统绘画",cat2_item31,"威尼斯画派","Venetian School","Venetian School","/images/themes/traditional_painting/威尼斯画派_Venetian School.png",
"传统绘画",cat2_item32,"荷兰黄金时代","Dutch Golden Age","Dutch Golden Age","/images/themes/traditional_painting/荷兰黄金时代_Dutch Golden Age.png",
"传统绘画",cat2_item33,"水墨人物","Ink Figure Painting","Ink Figure Painting","/images/themes/traditional_painting/水墨人物_Ink Figure Painting.png",
"数字艺术",cat3_item1,"电影感","Cinematic","Cinematic","/images/themes/digital_art/电影感_Cinematic.png",true
"数字艺术",cat3_item2,"街拍","Street","Street","/images/themes/digital_art/街拍_Street.png",true
"数字艺术",cat3_item3,"黑白","Black & White","Black & White","/images/themes/digital_art/黑白_Black & White.png",true
"数字艺术",cat3_item4,"时尚摄影","Fashion","Fashion","/images/themes/digital_art/时尚摄影_Fashion.png",true
"数字艺术",cat3_item5,"AI 扩散风","Diffusion Style","Diffusion Style","/images/themes/digital_art/AI 扩散风_Diffusion Style.png",
"数字艺术",cat3_item6,"超现实主义","Surrealism","Surrealism","/images/themes/digital_art/超现实主义_Surrealism.png",
"数字艺术",cat3_item7,"抽象几何","Abstract Geometric","Abstract Geometric","/images/themes/digital_art/抽象几何_Abstract Geometric.png",
"数字艺术",cat3_item8,"数码拼贴","Digital Collage","Digital Collage","/images/themes/digital_art/数码拼贴_Digital Collage.png",
"数字艺术",cat3_item9,"霓虹风","Neon Aesthetic","Neon Aesthetic","/images/themes/digital_art/霓虹风_Neon Aesthetic.png",
"数字艺术",cat3_item10,"全息风","Holographic","Holographic","/images/themes/digital_art/全息风_Holographic.png",
"数字艺术",cat3_item11,"合成波","Synthwave","Synthwave","/images/themes/digital_art/合成波_Synthwave.png",
"数字艺术",cat3_item12,"蒸汽波","Vaporwave","Vaporwave","/images/themes/digital_art/蒸汽波_Vaporwave.png",
"数字艺术",cat3_item13,"低多边形","Low Poly","Low Poly","/images/themes/digital_art/低多边形_Low Poly.png",
"数字艺术",cat3_item14,"像素艺术","Pixel Art","Pixel Art","/images/themes/digital_art/像素艺术_Pixel Art.png",
"数字艺术",cat3_item15,"赛博朋克","Cyberpunk","Cyberpunk","/images/themes/digital_art/赛博朋克_Cyberpunk.png",
"数字艺术",cat3_item16,"未来主义","Futurism","Futurism","/images/themes/digital_art/未来主义_Futurism.png",
"数字艺术",cat3_item17,"生物发光","Bioluminescent","Bioluminescent","/images/themes/digital_art/生物发光_Bioluminescent.png",
"数字艺术",cat3_item18,"液态金属","Liquid Metal","Liquid Metal","/images/themes/digital_art/液态金属_Liquid Metal.png",
"数字艺术",cat3_item19,"神经网络艺术","Neural Network Art","Neural Network Art","/images/themes/digital_art/神经网络艺术_Neural Network Art.png",
"数字艺术",cat3_item20,"生成艺术","Generative Art","Generative Art","/images/themes/digital_art/生成艺术_Generative Art.png",
"数字艺术",cat3_item21,"分形艺术","Fractal Art","Fractal Art","/images/themes/digital_art/分形艺术_Fractal Art.png",
"数字艺术",cat3_item22,"光绘","Light Painting","Light Painting","/images/themes/digital_art/光绘_Light Painting.png",
"数字艺术",cat3_item23,"全息投影","Hologram Effect","Hologram Effect","/images/themes/digital_art/全息投影_Hologram Effect.png",
"数字艺术",cat3_item24,"赛博格美学","Cyborg Aesthetic","Cyborg Aesthetic","/images/themes/digital_art/赛博格美学_Cyborg Aesthetic.png",
"数字艺术",cat3_item25,"数字油画","Digital Oil Painting","Digital Oil Painting","/images/themes/digital_art/数字油画_Digital Oil Painting.png",
"数字艺术",cat3_item26,"3D 渲染","3D Rendering","3D Rendering","/images/themes/digital_art/3D 渲染_3D Rendering.png",
"数字艺术",cat3_item27,"动态粒子","Particle Motion","Particle Motion","/images/themes/digital_art/动态粒子_Particle Motion.png",
"数字艺术",cat3_item28,"流体模拟","Fluid Simulation","Fluid Simulation","/images/themes/digital_art/流体模拟_Fluid Simulation.png",
"插画",cat4_item1,"高级定制","Haute Couture","Haute Couture","/images/themes/illustration/高级定制_Haute Couture.png",true
"插画",cat4_item2,"街头潮流","Streetwear","Streetwear","/images/themes/illustration/街头潮流_Streetwear.png",true
"插画",cat4_item3,"前卫","Avant-garde","Avant-garde","/images/themes/illustration/前卫_Avant-garde.png",true
"插画",cat4_item4,"哥特","Gothic","Gothic","/images/themes/illustration/哥特_Gothic.png",true
"插画",cat4_item5,"朋克","Punk","Punk","/images/themes/illustration/朋克_Punk.png",
"插画",cat4_item6,"未来主义时尚","Futuristic Fashion","Futuristic Fashion","/images/themes/illustration/未来主义时尚_Futuristic Fashion.png",
"插画",cat4_item7,"极简","Minimal","Minimal","/images/themes/illustration/极简_Minimal.png",
"插画",cat4_item8,"都市运动","Urban Sport","Urban Sport","/images/themes/illustration/都市运动_Urban Sport.png",
"插画",cat4_item9,"复古","Retro","Retro","/images/themes/illustration/复古_Retro.png",
"插画",cat4_item10,"维多利亚","Victorian","Victorian","/images/themes/illustration/维多利亚_Victorian.png",
"插画",cat4_item11,"和风","Wafuku","Wafuku","/images/themes/illustration/和风_Wafuku.png",
"插画",cat4_item12,"中式汉服","Hanfu","Hanfu","/images/themes/illustration/中式汉服_Hanfu.png",
"插画",cat4_item13,"奇幻插画","Fantasy Illustration","Fantasy Illustration","/images/themes/illustration/奇幻插画_Fantasy Illustration.png",
"插画",cat4_item14,"童话风","Fairytale Style","Fairytale Style","/images/themes/illustration/童话风_Fairytale Style.png",
"插画",cat4_item15,"蒸汽朋克插画","Steampunk Illustration","Steampunk Illustration","/images/themes/illustration/蒸汽朋克插画_Steampunk Illustration.png",
"插画",cat4_item16,"童话绘本","Children's Book Illustration","Children's Book Illustration","/images/themes/illustration/童话绘本_Children's Book Illustration.png",
"插画",cat4_item17,"装饰艺术插画","Art Deco Illustration","Art Deco Illustration","/images/themes/illustration/装饰艺术插画_Art Deco Illustration.png",
"插画",cat4_item18,"新艺术风格","Art Nouveau","Art Nouveau","/images/themes/illustration/新艺术风格_Art Nouveau.png",
"插画",cat4_item19,"孟菲斯插画","Memphis Illustration","Memphis Illustration","/images/themes/illustration/孟菲斯插画_Memphis Illustration.png",
"插画",cat4_item20,"扁平插画","Flat Illustration","Flat Illustration","/images/themes/illustration/扁平插画_Flat Illustration.png",
"插画",cat4_item21,"手绘水彩插画","Hand-painted Watercolor","Hand-painted Watercolor","/images/themes/illustration/手绘水彩插画_Hand-painted Watercolor.png",
"插画",cat4_item22,"矢量插画","Vector Illustration","Vector Illustration","/images/themes/illustration/矢量插画_Vector Illustration.png",
"插画",cat4_item23,"涂鸦插画","Graffiti Illustration","Graffiti Illustration","/images/themes/illustration/涂鸦插画_Graffiti Illustration.png",
"插画",cat4_item24,"科幻角色设计","Sci-fi Character Design","Sci-fi Character Design","/images/themes/illustration/科幻角色设计_Sci-fi Character Design.png",
"插画",cat4_item25,"日式厚涂","Japanese Thick Painting","Japanese Thick Painting","/images/themes/illustration/日式厚涂_Japanese Thick Painting.png",
"插画",cat4_item26,"美式漫画","American Comic","American Comic","/images/themes/illustration/美式漫画_American Comic.png",
"插画",cat4_item27,"卡通渲染","Toon Shading","Toon Shading","/images/themes/illustration/卡通渲染_Toon Shading.png",
"插画",cat4_item28,"极繁主义","Maximalism","Maximalism","/images/themes/illustration/极繁主义_Maximalism.png",
"插画",cat4_item29,"超现实插画","Surreal Illustration","Surreal Illustration","/images/themes/illustration/超现实插画_Surreal Illustration.png",
"插画",cat4_item30,"赛博格人像","Cyborg Portrait","Cyborg Portrait","/images/themes/illustration/赛博格人像_Cyborg Portrait.png",
"插画",cat4_item31,"生物朋克插画","Biopunk Illustration","Biopunk Illustration","/images/themes/illustration/生物朋克插画_Biopunk Illustration.png",
"插画",cat4_item32,"末日幻想","Post-apocalyptic Illustration","Post-apocalyptic Illustration","/images/themes/illustration/末日幻想_Post-apocalyptic Illustration.png",
"插画",cat4_item33,"童话暗黑风","Dark Fairytale","Dark Fairytale","/images/themes/illustration/童话暗黑风_Dark Fairytale.png",
"平面设计",cat5_item1,"包豪斯","Bauhaus","Bauhaus","/images/themes/graphic_design/包豪斯_Bauhaus.png",true
"平面设计",cat5_item2,"Swiss Style","Swiss Style","Swiss Style","/images/themes/graphic_design/Swiss Style_Swiss Style.png",true
"平面设计",cat5_item3,"粗野主义平面","Brutalist Graphic","Brutalist Graphic","/images/themes/graphic_design/粗野主义平面_Brutalist Graphic.png",true
"平面设计",cat5_item4,"极简 Minimal","Minimal","Minimal","/images/themes/graphic_design/极简 Minimal_Minimal.png",true
"平面设计",cat5_item5,"拼贴","Collage","Collage","/images/themes/graphic_design/拼贴_Collage.png",
"平面设计",cat5_item6,"手绘手账","Hand-drawn Sketch","Hand-drawn Sketch","/images/themes/graphic_design/手绘手账_Hand-drawn Sketch.png",
"平面设计",cat5_item7,"复古广告","Retro Poster","Retro Poster","/images/themes/graphic_design/复古广告_Retro Poster.png",
"平面设计",cat5_item8,"商业海报","Commercial Poster","Commercial Poster","/images/themes/graphic_design/商业海报_Commercial Poster.png",
"平面设计",cat5_item9,"孟菲斯风格","Memphis Design","Memphis Design","/images/themes/graphic_design/孟菲斯风格_Memphis Design.png",
"平面设计",cat5_item10,"故障艺术","Glitch Art","Glitch Art","/images/themes/graphic_design/故障艺术_Glitch Art.png",
"平面设计",cat5_item11,"霓虹排版","Neon Typography","Neon Typography","/images/themes/graphic_design/霓虹排版_Neon Typography.png",
"平面设计",cat5_item12,"未来主义排版","Futuristic Typography","Futuristic Typography","/images/themes/graphic_design/未来主义排版_Futuristic Typography.png",
"平面设计",cat5_item13,"等距插画","Isometric Illustration","Isometric Illustration","/images/themes/graphic_design/等距插画_Isometric Illustration.png",
"平面设计",cat5_item14,"像素图形","Pixel Graphics","Pixel Graphics","/images/themes/graphic_design/像素图形_Pixel Graphics.png",
"平面设计",cat5_item15,"酸性设计","Acid Graphics","Acid Graphics","/images/themes/graphic_design/酸性设计_Acid Graphics.png",
"平面设计",cat5_item16,"超现实平面","Surreal Graphic","Surreal Graphic","/images/themes/graphic_design/超现实平面_Surreal Graphic.png",
"平面设计",cat5_item17,"复古未来主义","Retro-futurism","Retro-futurism","/images/themes/graphic_design/复古未来主义_Retro-futurism.png",
"平面设计",cat5_item18,"动态图形","Motion Graphics Style","Motion Graphics Style","/images/themes/graphic_design/动态图形_Motion Graphics Style.png",
"平面设计",cat5_item19,"信息图风格","Infographic Style","Infographic Style","/images/themes/graphic_design/信息图风格_Infographic Style.png",
"平面设计",cat5_item20,"品牌视觉","Branding Aesthetic","Branding Aesthetic","/images/themes/graphic_design/品牌视觉_Branding Aesthetic.png",
"平面设计",cat5_item21,"杂志排版","Editorial Layout","Editorial Layout","/images/themes/graphic_design/杂志排版_Editorial Layout.png",
"平面设计",cat5_item22,"手写体设计","Hand-lettering","Hand-lettering","/images/themes/graphic_design/手写体设计_Hand-lettering.png",
"平面设计",cat5_item23,"几何构成","Geometric Composition","Geometric Composition","/images/themes/graphic_design/几何构成_Geometric Composition.png",
"平面设计",cat5_item24,"负空间设计","Negative Space","Negative Space","/images/themes/graphic_design/负空间设计_Negative Space.png",
"平面设计",cat5_item25,"单色设计","Monochrome Design","Monochrome Design","/images/themes/graphic_design/单色设计_Monochrome Design.png",
"平面设计",cat5_item26,"高饱和配色","High-saturation Palette","High-saturation Palette","/images/themes/graphic_design/高饱和配色_High-saturation Palette.png",
"平面设计",cat5_item27,"抽象矢量","Abstract Vector","Abstract Vector","/images/themes/graphic_design/抽象矢量_Abstract Vector.png",
"平面设计",cat5_item28,"复古科技","Retro Tech","Retro Tech","/images/themes/graphic_design/复古科技_Retro Tech.png",
"平面设计",cat5_item29,"赛博朋克UI","Cyberpunk UI","Cyberpunk UI","/images/themes/graphic_design/赛博朋克UI_Cyberpunk UI.png",
"平面设计",cat5_item30,"未来字体","Futuristic Font","Futuristic Font","/images/themes/graphic_design/未来字体_Futuristic Font.png",
"平面设计",cat5_item31,"极简图标","Minimal Icon Set","Minimal Icon Set","/images/themes/graphic_design/极简图标_Minimal Icon Set.png",
"平面设计",cat5_item32,"数字海报","Digital Poster","Digital Poster","/images/themes/graphic_design/数字海报_Digital Poster.png",
"平面设计",cat5_item33,"概念排版","Conceptual Typography","Conceptual Typography","/images/themes/graphic_design/概念排版_Conceptual Typography.png",
"摄影",cat6_item1,"纪实","Documentary","Documentary","/images/themes/photography/纪实_Documentary.png",true
"摄影",cat6_item2,"街拍","Street Photography","Street Photography","/images/themes/photography/街拍_Street Photography.png",true
"摄影",cat6_item3,"人像","Portrait","Portrait","/images/themes/photography/人像_Portrait.png",true
"摄影",cat6_item4,"电影感","Cinematic","Cinematic","/images/themes/photography/电影感_Cinematic.png",true
"摄影",cat6_item5,"黑白","Black & White","Black & White","/images/themes/photography/黑白_Black & White.png",
"摄影",cat6_item6,"胶片","Film","Film","/images/themes/photography/胶片_Film.png",
"摄影",cat6_item7,"时尚摄影","Fashion","Fashion","/images/themes/photography/时尚摄影_Fashion.png",
